1D rho_crit — IMRI 0PA intrinsic-only Fisher at MLE recovery point
Shift aggregation: 9 shifts, median sigma
r_{1,0.99} = 2.5758,  SNR0 = 20.0
K=7: ['m1', 'm2', 'a', 'p0', 'e0', 'Phi_phi0', 'Phi_r0']

idx       a     e0  ||  d_m1    d_m2    d_a     d_p0    d_e0    d_Φφ    d_Φr       max_d     ρcrit
--------------------------------------------------------------------------------------------------
  0  -0.90  0.10  ||     1.785     1.934     3.956     3.184     0.826     0.033     0.581     3.956    13.021
  1  -0.50  0.10  ||     2.049     2.337     4.500     3.528     0.999     0.191     0.396     4.500    11.448
  2  +0.00  0.10  ||     1.603     1.659     4.449     2.932     0.979    15.456     8.241    15.456     3.333
  3  +0.50  0.10  ||     9.855    13.619     2.004     9.802     0.547     0.260     5.263    13.619     3.783
  4  +0.90  0.10  ||     9.963    10.194     2.021    10.615     1.038     0.363     4.490    10.615     4.853
  5  -0.90  0.20  ||     2.534     2.809     5.063     4.200     1.326     0.217     0.805     5.063    10.174
  6  -0.50  0.20  ||     2.418     3.083     5.198     4.175     1.157     0.184     0.735     5.198     9.912
  7  +0.00  0.20  ||     2.295     3.263     5.292     3.984     1.003     0.089     0.623     5.292     9.735
  8  +0.50  0.20  ||     1.711     2.333     4.515     2.758     0.710     0.181     0.533     4.515    11.409
  9  +0.90  0.20  ||    10.527     9.811     3.502    11.297     3.981     4.418     4.781    11.297     4.560
 10  -0.90  0.30  ||     3.121     3.272     5.963     4.994     1.778     0.355     0.791     5.963     8.639
 11  -0.50  0.30  ||     3.076     3.661     6.218     5.065     1.679     0.345     0.779     6.218     8.285
 12  +0.00  0.30  ||     3.031     4.117     6.598     5.106     1.520     0.019     0.637     6.598     7.807
 13  +0.50  0.30  ||     2.257     2.904     5.613     3.552     1.126     0.460     0.623     5.613     9.178
 14  +0.90  0.30  ||     0.100     2.011     1.027     0.686     0.245     0.618     0.422     2.011    25.611
 15  -0.90  0.40  ||     3.593     3.438     6.598     5.568     2.285     0.401     0.688     6.598     7.808
 16  -0.50  0.40  ||     3.571     3.834     6.948     5.704     2.234     0.459     0.712     6.948     7.415
 17  +0.00  0.40  ||     3.404     4.031     7.185     5.549     2.020     1.057     0.536     7.185     7.170
 18  +0.50  0.40  ||     2.672     3.362     6.028     4.177     1.676     0.758     0.698     6.028     8.547
 19  +0.90  0.40  ||     0.850     1.345     1.381     1.683     0.008     1.036     0.400     1.683    30.617
 20  -0.90  0.50  ||     3.747     3.315     6.678     5.688     2.621     0.088     0.299     6.678     7.714
 21  -0.50  0.50  ||     3.901     3.678     7.300     6.041     2.784     0.425     0.561     7.300     7.057
 22  +0.00  0.50  ||     3.968     4.202     7.895     6.195     2.839     0.538     0.561     7.895     6.525
 23  +0.50  0.50  ||     3.178     3.231     6.616     4.641     2.613     0.858     0.663     6.616     7.786
 24  +0.90  0.50  ||     0.120     1.573     0.132     0.882     1.461     1.101     0.513     1.573    32.747
