1D rho_crit — IMRI 1PA intrinsic-only Fisher at MLE recovery point
Shift aggregation: 9 shifts, median sigma
r_{1,0.99} = 2.5758,  SNR0 = 20.0
K=8: ['m1', 'm2', 'a', 'p0', 'e0', 'Phi_phi0', 'Phi_r0', 'chi2']

idx       a     e0  ||  d_m1    d_m2    d_a     d_p0    d_e0    d_Φφ    d_Φr    d_χ2       max_d     ρcrit
----------------------------------------------------------------------------------------------------------
  0  -0.90  0.10  ||     0.002     0.004     0.002     0.002     0.001     0.000     0.001     0.001     0.004  13860.256
  1  -0.50  0.10  ||     0.006     0.016     0.005     0.006     0.008     0.001     0.028     0.004     0.028  1865.469
  2  +0.00  0.10  ||     0.018     0.036     0.004     0.012     0.005     0.018     0.033     0.006     0.036  1437.899
  3  +0.50  0.10  ||     0.001     0.002     0.004     0.004     0.003     0.000     0.000     0.004     0.004  11575.309
  4  +0.90  0.10  ||     0.012     0.007     0.000     0.003     0.000     0.000     0.005     0.000     0.012  4392.059
  5  -0.90  0.20  ||     0.002     0.005     0.002     0.002     0.002     0.000     0.000     0.000     0.005  11368.960
  6  -0.50  0.20  ||     0.004     0.005     0.005     0.004     0.001     0.001     0.002     0.002     0.005  9828.866
  7  +0.00  0.20  ||     0.003     0.000     0.031     0.009     0.002     0.000     0.000     0.002     0.031  1687.692
  8  +0.50  0.20  ||     0.016     0.001     0.002     0.000     0.014     0.002     0.002     0.004     0.016  3220.775
  9  +0.90  0.20  ||     0.017     0.001     0.003     0.002     0.021     0.000     0.000     0.007     0.021  2413.681
 10  -0.90  0.30  ||     0.004     0.006     0.002     0.002     0.001     0.000     0.000     0.003     0.006  8688.540
 11  -0.50  0.30  ||     0.010     0.002     0.000     0.000     0.014     0.000     0.000     0.003     0.014  3771.228
 12  +0.00  0.30  ||     0.006     0.005     0.002     0.002     0.006     0.006     0.001     0.001     0.006  8343.376
 13  +0.50  0.30  ||     0.009     0.002     0.009     0.008     0.008     0.000     0.001     0.011     0.011  4766.515
 14  +0.90  0.30  ||     0.008     0.005     0.005     0.005     0.003     0.002     0.004     0.003     0.008  6497.745
 15  -0.90  0.40  ||     0.016     0.003     0.003     0.003     0.019     0.010     0.002     0.004     0.019  2718.593
 16  -0.50  0.40  ||     0.002     0.003     0.002     0.001     0.008     0.001     0.002     0.000     0.008  6553.945
 17  +0.00  0.40  ||     0.001     0.005     0.068     0.048     0.000     0.000     0.000     0.009     0.068   755.893
 18  +0.50  0.40  ||     0.022     0.001     0.004     0.001     0.021     0.005     0.007     0.008     0.022  2321.440
 19  +0.90  0.40  ||     0.002     0.005     0.007     0.006     0.003     0.002     0.001     0.008     0.008  6807.674
 20  -0.90  0.50  ||     0.002     0.004     0.001     0.000     0.004     0.000     0.000     0.001     0.004  11853.036
 21  -0.50  0.50  ||     0.006     0.004     0.003     0.004     0.005     0.007     0.002     0.002     0.007  7776.845
 22  +0.00  0.50  ||     0.008     0.011     0.004     0.004     0.006     0.008     0.000     0.000     0.011  4824.007
 23  +0.50  0.50  ||     0.003     0.000     0.004     0.002     0.002     0.000     0.000     0.000     0.004  14220.564
 24  +0.90  0.50  ||     0.023     0.006     0.027     0.020     0.010     0.000     0.007     0.018     0.027  1939.557
