1D rho_crit — IMRI_TAIL 0PA intrinsic-only Fisher at MLE recovery point
Shift aggregation: 9 shifts, median sigma
r_{1,0.99} = 2.5758,  SNR0 = 20.0
K=7: ['m1', 'm2', 'a', 'p0', 'e0', 'Phi_phi0', 'Phi_r0']

idx       a     e0  ||  d_m1    d_m2    d_a     d_p0    d_e0    d_Φφ    d_Φr       max_d     ρcrit
--------------------------------------------------------------------------------------------------
  0  -0.90  0.10  ||     2.626     2.992     6.180     4.822     1.016     0.149     0.075     6.180     8.336
  1  -0.50  0.10  ||     2.267     2.678     5.886     4.274     0.726     0.269     0.263     5.886     8.753
  2  +0.00  0.10  ||     1.808     2.252     5.272     3.326     0.591     0.087     5.365     5.365     9.603
  3  +0.50  0.10  ||    15.097     8.066    26.714    15.609     8.397     3.824     2.445    26.714     1.928
  4  +0.90  0.10  ||     4.557     4.591     0.243     5.018     0.489     0.344     2.696     5.018    10.267
  5  -0.90  0.20  ||     3.322     3.862     7.564     6.041     1.498     0.052     0.725     7.564     6.811
  6  -0.50  0.20  ||     2.953     3.832     7.098     5.480     1.217     0.053     0.618     7.098     7.257
  7  +0.00  0.20  ||     3.275     4.630     0.019     6.037    10.807    40.360    13.849    40.360     1.276
  8  +0.50  0.20  ||     1.617     2.638     4.252     2.614     0.458     0.060     0.352     4.252    12.115
  9  +0.90  0.20  ||     1.788     7.836    15.193     1.484     9.640     4.599     1.568    15.193     3.391
 10  -0.90  0.30  ||     4.243     4.748     9.115     7.393     2.228     0.218     0.855     9.115     5.652
 11  -0.50  0.30  ||     3.850     4.806     8.731     6.866     1.849     0.222     0.730     8.731     5.900
 12  +0.00  0.30  ||     3.151     4.456     7.535     5.572     1.328     0.276     0.551     7.535     6.836
 13  +0.50  0.30  ||     2.097     3.260     5.168     3.304     0.842     0.319     0.502     5.168     9.969
 14  +0.90  0.30  ||     3.772     9.263     8.174     1.311    88.101     2.112     3.211    88.101     0.585
 15  -0.90  0.40  ||     5.125     5.413    10.631     8.678     2.989     0.299     0.750    10.631     4.846
 16  -0.50  0.40  ||     4.673     5.406    10.184     8.078     2.633     0.285     0.700    10.184     5.059
 17  +0.00  0.40  ||     3.874     5.192     8.794     6.629     2.078     0.295     0.583     8.794     5.858
 18  +0.50  0.40  ||     2.735     4.337     5.924     4.142     1.269     0.418     0.475     5.924     8.697
 19  +0.90  0.40  ||     0.757     2.783     0.104     0.034     0.557     0.679     0.362     2.783    18.509
 20  -0.90  0.50  ||     5.752     5.694    11.531     9.486     3.822     0.318     0.571    11.531     4.468
 21  -0.50  0.50  ||     5.368     5.840    11.220     8.976     3.560     0.344     0.561    11.220     4.591
 22  +0.00  0.50  ||     4.623     5.872     9.899     7.609     3.109     0.214     0.459     9.899     5.204
 23  +0.50  0.50  ||     3.306     4.503     6.923     4.809     2.464     0.538     0.489     6.923     7.441
 24  +0.90  0.50  ||     0.903     2.614     0.340     0.012     1.469     0.680     0.340     2.614    19.708
