1D rho_crit — IMRI_TAIL 1PA intrinsic-only Fisher at MLE recovery point
Shift aggregation: 9 shifts, median sigma
r_{1,0.99} = 2.5758,  SNR0 = 20.0
K=8: ['m1', 'm2', 'a', 'p0', 'e0', 'Phi_phi0', 'Phi_r0', 'chi2']

idx       a     e0  ||  d_m1    d_m2    d_a     d_p0    d_e0    d_Φφ    d_Φr    d_χ2       max_d     ρcrit
----------------------------------------------------------------------------------------------------------
  0  -0.90  0.10  ||     0.041     0.057     0.025     0.023     0.005     0.007     0.013     0.000     0.057   902.082
  1  -0.50  0.10  ||     0.038     0.037     0.019     0.016     0.011     0.005     0.004     0.000     0.038  1363.734
  2  +0.00  0.10  ||     0.029     0.056     0.004     0.003     0.008     0.007     0.054     0.000     0.056   927.911
  3  +0.50  0.10  ||     4.585     4.413     0.371     0.984     0.635     7.498     2.246     0.009     7.498     6.871
  4  +0.90  0.10  ||     0.080     0.036     0.011     0.018     0.132     0.137     0.004     0.000     0.137   374.745
  5  -0.90  0.20  ||     0.209     0.225     0.098     0.095     0.155     0.085     0.064     0.002     0.225   228.766
  6  -0.50  0.20  ||     3.803     6.068     0.944     1.317     0.340    12.023     0.340     0.000    12.023     4.285
  7  +0.00  0.20  ||     0.020     0.001     0.019     0.012     0.013     0.001     0.006     0.000     0.020  2567.649
  8  +0.50  0.20  ||     0.004     0.008     0.005     0.002     0.001     0.002     0.004     0.000     0.008  6607.290
  9  +0.90  0.20  ||     3.713     0.695     0.964     0.645    29.815     2.463     4.079     0.000    29.815     1.728
 10  -0.90  0.30  ||     0.082     0.117     0.054     0.049     0.005     0.015     0.022     0.001     0.117   439.721
 11  -0.50  0.30  ||     0.077     0.076     0.047     0.040     0.023     0.011     0.008     0.000     0.077   673.331
 12  +0.00  0.30  ||     0.025     0.002     0.028     0.018     0.015     0.004     0.007     0.000     0.028  1832.042
 13  +0.50  0.30  ||     0.003     0.010     0.007     0.003     0.002     0.004     0.005     0.000     0.010  5004.939
 14  +0.90  0.30  ||     6.924     0.381     1.653     1.383    53.358     4.737     1.759     0.000    53.358     0.965
 15  -0.90  0.40  ||     0.103     0.141     0.064     0.058     0.014     0.022     0.024     0.000     0.141   365.469
 16  -0.50  0.40  ||     0.081     0.082     0.055     0.045     0.020     0.008     0.009     0.000     0.082   627.380
 17  +0.00  0.40  ||     0.031     0.001     0.036     0.023     0.019     0.005     0.008     0.000     0.036  1425.588
 18  +0.50  0.40  ||     0.012     0.015     0.002     0.002     0.027     0.006     0.056     0.000     0.056   920.318
 19  +0.90  0.40  ||     8.420     0.434     1.998     1.761    36.639     2.276     6.141     0.037    36.639     1.406
 20  -0.90  0.50  ||     0.110     0.150     0.071     0.064     0.015     0.023     0.024     0.000     0.150   343.896
 21  -0.50  0.50  ||     0.024     0.009     0.019     0.009     0.052     0.044     0.007     0.000     0.052   998.828
 22  +0.00  0.50  ||     0.018     0.052     0.018     0.004     0.017     0.033     0.003     0.000     0.052   984.505
 23  +0.50  0.50  ||     0.002     0.016     0.011     0.003     0.007     0.008     0.007     0.003     0.016  3283.314
 24  +0.90  0.50  ||     0.002     0.011     0.004     0.002     0.003     0.001     0.004     0.000     0.011  4513.547
