1D rho_crit — intrinsic-only Fisher at MLE recovery point
Shift aggregation: 9 shifts in (a,e0), median sigma
Inversion: np.linalg.inv (positive-definite check; NaN if not PD)
r_{1,0.99} = 2.5758,  SNR0 = 20.0
0PA K=7: ['m1', 'm2', 'a', 'p0', 'e0', 'Phi_phi0', 'Phi_r0']
1PA K=8: ['m1', 'm2', 'a', 'p0', 'e0', 'Phi_phi0', 'Phi_r0', 'chi2']

idx       a     e0  ||  d_m1    d_m2    d_a     d_p0    d_e0    d_Φφ    d_Φr       max_d     ρcrit  ||  d_m1    d_m2    d_a     d_p0    d_e0    d_Φφ    d_Φr    d_χ2       max_d     ρcrit
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0  -0.90  0.10  ||     0.082     0.081     0.117     0.107     0.066     0.098     0.115     0.117   441.882  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  1916228.460
  1  -0.50  0.10  ||     0.173     0.148     0.236     0.217     0.145     0.078     0.081     0.236   218.242  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  2398522.293
  2  +0.00  0.10  ||     0.236     0.252     0.339     0.301     0.192     0.139     0.243     0.339   152.150  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  2206106.791
  3  +0.50  0.10  ||     0.251     0.325     0.433     0.351     0.226     0.019     0.003     0.433   118.954  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  1982102.478
  4  +0.90  0.10  ||     0.388     0.372     0.144     0.423     0.035     0.009     0.000     0.423   121.927  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  239048.454
  5  -0.90  0.20  ||     0.115     0.082     0.150     0.142     0.088     0.025     0.014     0.150   342.314  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  13770842.241
  6  -0.50  0.20  ||     0.232     0.169     0.304     0.285     0.182     0.017     0.001     0.304   169.198  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  542029.720
  7  +0.00  0.20  ||     0.388     0.386     0.523     0.476     0.324     0.329     0.214     0.523    98.574  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  738582.872
  8  +0.50  0.20  ||     0.540     0.593     0.763     0.665     0.471     0.006     0.000     0.763    67.483  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  136410.363
  9  +0.90  0.20  ||     0.270     0.503     0.022     0.309     0.128     0.009     0.069     0.503   102.497  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  244870.712
 10  -0.90  0.30  ||     0.096     0.080     0.124     0.117     0.077     0.000     0.119     0.124   415.408  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  691947.727
 11  -0.50  0.30  ||     0.213     0.174     0.274     0.258     0.172     0.003     0.002     0.274   187.968  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  285673.228
 12  +0.00  0.30  ||     0.476     0.416     0.624     0.577     0.396     0.002     0.000     0.624    82.596  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  111002.709
 13  +0.50  0.30  ||     0.709     0.763     0.955     0.847     0.614     0.000     0.000     0.955    53.943  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  10911060.480
 14  +0.90  0.30  ||     0.166     0.715     0.176     0.224     0.274     0.030     0.062     0.715    72.063  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  203499.580
 15  -0.90  0.40  ||     0.007     0.007     0.010     0.005     0.013     0.029     0.001     0.029  1761.107  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  178009.334
 16  -0.50  0.40  ||     0.189     0.186     0.232     0.221     0.173     0.001     0.000     0.232   221.922  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  149324.414
 17  +0.00  0.40  ||     0.401     0.390     0.509     0.476     0.350     0.000     0.000     0.509   101.198  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  388226.655
 18  +0.50  0.40  ||     0.819     0.881     1.058     0.955     0.743     0.001     0.039     1.058    48.708  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  149717.911
 19  +0.90  0.40  ||     0.206     1.030     0.586     0.163     0.563     0.034     0.002     1.030    49.991  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  205210.704
 20  -0.90  0.50  ||     0.118     0.105     0.097     0.102     0.117     0.005     0.014     0.118   437.126  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  1787037.656
 21  -0.50  0.50  ||     0.011     0.015     0.030     0.025     0.007     0.006     0.002     0.030  1715.383  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  1143409.679
 22  +0.00  0.50  ||     0.422     0.454     0.501     0.476     0.415     0.036     0.041     0.501   102.831  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  138635.995
 23  +0.50  0.50  ||     0.837     0.954     1.028     0.941     0.817     0.009     0.000     1.028    50.092  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  210277.163
 24  +0.90  0.50  ||     0.496     1.339     0.854     0.416     0.929     0.045     0.002     1.339    38.467  ||     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000  213544.649
